ef,sku,nombre_comercial,forma,costo_usd,precio_usd
E.F.37.256,ME37256,"LORECORT 1 mg - 0,05 mg / 5mL SOLUCION ORAL",SOLUCION ORAL,21.37,35.62
E.F.37.262,ME37262,AMOXIVAL 750 ml / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,10.08,16.80
E.F.G.37.301,ME37301,DICLOFENAC SODICO 1% GEL,GEL,5.09,8.48
E.F.37.330,ME37330,PERTEN 1 % CREMA,CREMA,7.19,11.98
E.F.G.37.412,ME37412,TOBRAMICINA 300 mg/5 ml SOLUCION PARA INHALACION,INHALACION,4.74,7.90
E.F.37.466,ME37466,FUCIDIN H 20 mg - 10 mg/g CREMA.,CREMA,11.32,18.87
E.F.G.37.492,ME37492,METFORMINA CLORHIDRATO 850 mg COMPRIMIDOS,COMPRIMIDOS,6.37,10.62
E.F.37.539,ME37539,ZUDENINA 0.1 % CREMA,CREMA,8.47,14.12
E.F.G.37.583,ME37583,METFORMINA CLORHIDRATO 500 mg COMPRIMIDOS,COMPRIMIDOS,6.86,11.43
E.F.G.37.587,ME37587,AMBROXOL CLORHIDRATO - LORATADINA 30 mg - 5 mg / 5 mL JARABE,JARABE,4.47,7.45
E.F.G.37.747,ME37747,"VALSARTAN CON HIDROCLOROTIAZIDA 160 mg - 12,5 mg COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,5.77,9.62
E.F.G.37.749,ME37749,"VALSARTAN CON HIDROCLOROTIAZIDA 80 mg - 12,5 mg COMPRIMIDOS",COMPRIMIDOS,3.12,5.20
E.F.G.37.839,ME37839,TERBINAFINA CLORHIDRATO 1 % CREMA,CREMA,6.39,10.65
E.F.G.37.900,ME37900,CLOTRIMAZOL 10 % CREMA VAGINAL,CREMA,3.03,5.05
E.F.37.950,ME37950,NOVACODIN 50 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,4.13,6.88
E.F.G.37.958,ME37958,GLUCONATO FERROSO (50 mg / 15 mL DE HIERRO ELEMENTAL) SOLUCION ORAL,SOLUCION ORAL,5.35,8.92
E.F.37.978,ME37978,KEPPRA 100 mg/mL SOLUCION ORAL,SOLUCION ORAL,101.18,168.63
E.F.38.053,ME38053,"LOTEMICIN 0,5 % - 0,3 % SUSPENSION OFTALMICA",SOLUCION OFTALMICA,11.56,19.27
E.F.38.114,ME38114,"DERMOSUPRIL C 0,1 % - 3 % CREMA TOPICA",CREMA,8.3,13.83
E.F.38.201,ME38201,"MOMEQ 0,1 % CREMA",CREMA,9.99,16.65
E.F.38.253,ME38253,"BEPRODERM 0,05 % - 0,1 % CREMA",CREMA,6.23,10.38
E.F.38.329,ME38329,"NEFROTAL H 100 mg - 12,5 mg COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,2.84,4.73
E.F.G.38.330,ME38330,DICLOFENAC POTASICO 15 mg / mL SUSPENSION ORAL,SUSPENSION ORAL,1.71,2.85
E.F.38.332,ME38332,CELAY 5 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,2.49,4.15
E.F.38.499,ME38499,"DIKLASON 1,16 % GEL",GEL,18.19,30.32
E.F.G.38.568,ME38568,VALSARTAN 80 mg CAPSULAS,CAPSULAS,4.61,7.68
E.F.G.38.569,ME38569,VALSARTAN 160 mg CAPSULAS,CAPSULAS,6.12,10.20
E.F.38.610,ME38610,FLENOX 30 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,2.71,4.52
E.F.38.628,ME38628,FEBRATIC 10 mg / 5 mL SUSPENSION ORAL,SOLUCION ORAL,2.83,4.72
E.F.38.680,ME38680,FLENOX 15 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,1.29,2.15
E.F.38.721,ME38721,OFAFLAN 2 mg / mL SUSPENSION ORAL,SUSPENSION ORAL,8.12,13.53
E.F.38.820,ME38820,ANANTY 120 mg / 5 mL SUSPENSION,SUSPENSION ORAL,3.23,5.38
E.F.G.38.822,ME38822,TERBINAFINA 1 % CREMA,CREMA,2.87,4.78
E.F.38.877,ME38877,CARNISIN 1 g / 10 mL SOLUCION ORAL LIBRE DE AZUCAR,SOLUCION ORAL,5.76,9.60
E.F.38.880,ME38880,IBUTAN 200 mg / 5 mL SUSPENSION,SUSPENSION ORAL,3.88,6.47
E.F.G.38.921,ME38921,OLMESARTAN MEDOXOMIL 20 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,6.55,10.92
E.F.38.983,ME38983,DOMPESIN 1 mg / mL SUSPENSION,SUSPENSION ORAL,5.17,8.62
E.F.G.39.008,ME39008,ATORVASTATINA 20 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,3.5,5.83
E.F.G.39.020,ME39020,ACETAMINOFEN 1000 mg COMPRIMIDOS,COMPRIMIDOS,2.6,4.33
E.F.G.39.033,ME39033,"BISOPROLOL FUMARATO - HIDROCLOROTIZIDA 2,5 mg - 6,25 mg COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,4.31,7.18
E.F.G.39.034,ME39034,"BISOPROLOL FUMARATO - HIDROCLOROTIAZIDA 5 mg - 6,25 mg COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,5.86,9.77
E.F.G.39.079,ME39079,IBUPROFENO - TIOCOLCHICOSIDO 600 mg - 4 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,4.54,7.57
E.F.39.097,ME39097,BROFLEMA 8 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,4.03,6.72
E.F.39.326,ME39326,EUKENE 20 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,9.62,16.03
E.F.39.415,ME39415,"ERILON 0,05 % CREMA",CREMA,5.62,9.37
E.F.39.471,ME39471,TAMOA 250 mg COMPRIMIDOS MASTICABLES,COMPRIMIDOS,3.56,5.93
E.F.G.39.472,ME39472,IBUPROFENO 400 mg-TIOCOLCHICOSIDO 4 mg COMPRIMIDOS,COMPRIMIDOS,4.6,7.67
E.F.39.709,ME39709,RIDAL 1 mg / mL SOLUCION ORAL,SOLUCION ORAL,7.14,11.90
E.F.G.39.843,ME39843,METFORMINA CLORHIDRATO - GLIBENCLAMIDA 500 mg - 5 mg TABLETAS RECUBIERTAS,TABLETAS,6.23,10.38
E.F.39.925,ME39925,"ISOSPRAY PLUS 0,15 % - 0,25 % SOLUCION",LOCION,3.33,5.55
E.F.40.013,ME40013,LECART 1 g / 10 mL SOLUCION ORAL,SOLUCION ORAL,6.15,10.25
E.F.40.019,ME40019,MULTIDERM 2 % UNGUENTO,UNGUENTO,7.43,12.38
E.F.G.40.042,ME40042,AMLODIPINA - VALSARTAN 10 mg - 160 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,2.54,4.23
E.F.40.057,ME40057,MICONAX 15 % - 4 % CREMA VAGINAL,CREMA,5.69,9.48
E.F.G.40.063,ME40063,CEFIXIMA 100 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,8.29,13.82
