descripcion,costo_usd,ef,pa_drovencentro,score
NEFROTAL H COMP REC 100MG/25MG X30 MEG,15.21,E.F.35.488,LOSARTAN POTASICO 100MG 10COMP,0.000
"NEVAC SUSP OFT 0,1% 5ML L.O",25.35,E.F.42.077,NEPAFENACO 0.1%,0.000
NIPE PLUS GRANU FRUTAS TROPI SOB X6 VARG,6.56,E.F.39.909,ACETAMINOFEN + CLORFENAMINA,0.000
OCUPRED SUSP OFT 1%  5ML L.O,15.38,E.F.G.43.411,PREDNISOLONA ACETATO 1%,0.000
OFAFLAN SUSP GTS 15MG/ML 30ML ELM,2.17,E.F.G.38.330,DICLOFENAC POTASICO 15MG 30ML,0.000
ORALZINC SOB MANDA X1 ZUO,5.27,E.F.41.670,CLORUR DE SOD+POTAS+CITRAT SOD,0.000
PASIM COMP REC 10MG X10 MEG,4.94,E.F.43.713,N BUTIL BROMURO+HIOSCINA,0.000
PASIM FEM COMP REC 20MG/400MG X10 MEG,7.21,E.F.43.845,N BUTIL BROMURO+HIOSCINA,0.000
PASIM PLUS COMP REC 10MG/500MG X10 MEG,5.19,E.F.43.713,N BUTIL BROMURO+HIOSCINA,0.000
PASOLAX PVO SOL ORAL 100G MEY,6.95,E.F.42.399,POLIETILENGLICOL,0.000
PERTEN CREM 1% 20G MEY,10.13,E.F.40.673,TERBINAFINA 1%,0.000
PLIDAN SOL GTS 10MG 20ML MEG,10.93,E.F.31.051,CLONIXINATO DE LISINA 10MG  + PROPINOX 125MG,0.000
POLIAMIN SOL INY 10% 500ML BHR,48.36,E.F.29.980,AMINOACIDOS 10%,0.000
PROTOSULFIL CREM 1% 15G MEG,5.45,E.F.23.774,SULFADIAZINA DE PLATA 1%,0.000
PROTOSULFIL CREM 30G MEG,10.52,E.F.23.774,SULFADIAZINA DE PLATA,0.000
PROXIME COMP REC 750MG X5 LETI,16.97,E.F.35.378,LEVOFLOXACINA 750MG,0.000
"QUINOMAX SOL OFT 0,50% 5ML L.O",19.04,E.F.35.503,MOXIFLOXACINA,0.000
"RESEQUIL LOC/TOPICA 0,1% X 10ML",11.68,E.F.43.467,MOMETASONA  FUROATO,0.000
