descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
BIOFENIT AMP IV/IM 250MG/5ML X10 CR BIO,51642,7598455000391,12.64,sin_candidato
BIOMYCIN SOL OFT 3MG/ML X5ML CR BIO,54458,7598455000742,3.4,score_bajo
BIOSONA PVO LIOFIZ VIAL 500MG X1 CR BIO,54454,7598455000032,12.53,score_bajo
"BIOTALOL HCT COMP REC 2,5/6,25MGX30 LETI",53196,7591585313300,11.5,score_bajo
BIOTIC HC SOL 1% X5ML CR BIO,54456,7598455000469,8.23,sin_candidato
"BIOTILOL SOL OFT 0,5% X10 ML CR BIO",54457,7598455000520,3.95,sin_candidato
BIOTINA CAP 5000MCG X30 VAL,23186,617748376306,11.75,sin_candidato
"BIPROLIL HCT COMP REC 2,5/6,25MGX30 VARG",51584,7592349002294,6.92,score_bajo
BIRGIT COMP REC 100MG X10 MEG,28299,7730969307676,4.42,score_bajo
BIRGIT COMP REC 100MG X30 MEG,28300,7730969307669,16.23,score_bajo
BIRGIT PLUS COM/REC 50MG/1000MG X 30,28731,7730969307706,28.18,score_bajo
BIRGIT PLUS COMP REC 50MG/500MG X30 MEG,28302,7730969307683,23.12,score_bajo
BIRGIT PLUS COMP REC 50MG/850MG X30 MEG,52040,7730969300004,28.57,score_bajo
"BISMUALIV SUSP/ORAL 87,33MG/5ML X 150ML",29167,7750215021927,5.38,sin_candidato
BISOBLOC TAB 10MG X30 GFARM,15693,7406076105404,13.97,score_bajo
"BISOBLOC/HCT TAB 10MG/6,25MG X30 GFARM",15694,7406076103998,16.48,score_bajo
BITRILVA TAB 100MG X30 ZORIAK,52150,7599112000433,25.74,sin_candidato
BITRILVA TAB 50MG X 30,30341,7599112000334,22.52,sin_candidato
BLOKXA TAB REC 10MG X14 CLX,22594,7591519000405,5.58,score_bajo
BLOKXA TAB REC 10MG X28 CLX,54278,7591519002942,9.53,score_bajo
BLOKXA TAB REC 15MG X28 CLX,54279,7591519002959,14.03,score_bajo
BLOKXA TAB REC 20MG X14 CLX,22837,7591519000429,10.36,score_bajo
BLOKXA TAB REC 20MG X28 CLX,54280,7591519002966,17.82,score_bajo
BLUDHES TAB REC 500MG X30 BLUE,50780,7598127002272,11.45,sin_candidato
BLUFEN PLUS TAB 800MG X10 BLUE/M,23885,7598127000988,0.61,sin_candidato
BLUXCEDRIN TAB/REC 250MG/250MG/65 X 10,50572,7598127002067,1.53,sin_candidato
BLUXIMA PVO SUSP 100MG/5ML 60ML BLUE/M,23525,7598127000773,3.9,sin_candidato
BOLARIA COMP REC 16MG X60 MEG,51002,7460536573639,19.87,score_bajo
BON O BON BLANCO/CREM MANI DISP 15G X 15,50436,0750220941427,9.26,sin_candidato
BON O BON BLANCO/CREM MANI DISP 15G X 30,50447,7502230942363,9.26,sin_candidato
BON O BON CHOCO CHOCO DISP 15G X 15,50442,75046910,5.26,sin_candidato
BON O BON CHOCO/CREM MANI DISP 15G X 15,50435,7502230942028,5.26,sin_candidato
BON O BON CHOCO/CREM MANI DISP 15G X 30,50446,7502230942356,9.26,sin_candidato
