proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,GAPRIDOL CAP 400MG X15 CR MT,53033,7501384550622,7,,,,sin_match,sin_candidato
cobeca,GAPTAN TAB 300MG X30 ZORIAK,20176,8906104081384,6.92,,,,sin_match,sin_candidato
cobeca,GARABET SOL OFT 5ML L.O,7339,7591196000255,11.81,,,,sin_match,score_bajo
cobeca,GARDENAL TAB 100MG X30 CLX,1477,7591519317565,12.55,2241,GARDENAL 100 mg COMPRIMIDOS,20.92,matched,score=0.719
cobeca,"GASA EBEN CLINICA 1,20M",13378,7595492000056,2.89,,,,sin_match,no farmaco
cobeca,"GASA EBEN SUPER CLINICA 2,4M",13375,7595492000063,3.81,,,,sin_match,no farmaco
cobeca,"GASA EBEN SUPER CLINICA ECONOMICA 2,4M",13377,7595492000087,2.54,,,,sin_match,no farmaco
cobeca,"GASA ESTER PLUSMEDIC 4""X4"" X2 CAJ X50",25349,7597467000436,15.75,,,,sin_match,no farmaco
cobeca,GASA ESTERIL PROMEINT PARAFIN 10X10,50108,7597467002256,7.2,,,,sin_match,no farmaco
cobeca,GASA P/QUEMADO BRIUTCARE ESTERIL ROLLO,26584,0723592773106,4.22,,,,sin_match,no farmaco
cobeca,GASA PLUSMEDIC 100YDS,50107,7597467002164,32.39,,,,sin_match,no farmaco
cobeca,"GASA PLUSMEDIC ESTERIL 3""X3"" CAJ X50",26924,7597467000450,9.9,,,,sin_match,no farmaco
cobeca,GASA PROMEINT EST PARAF C/CLOR 10X10 X10,54419,7597467002911,7.92,,,,sin_match,no farmaco
cobeca,GASAS BRIUTCARE ESTER 2X2   SOB X20,53182,645748578185,3.9,,,,sin_match,score_bajo
cobeca,GASAS BRIUTCARE ESTER 3X3   SOB X20,53183,645748578215,5.97,,,,sin_match,score_bajo
cobeca,GASAS BRIUTCARE ESTER 4X4   SOB X20,53184,645748578246,8.57,,,,sin_match,score_bajo
cobeca,GASAS BRIUTCARE ESTER 4X8   SOB X20,53185,645748578277,15.58,,,,sin_match,score_bajo
cobeca,GASAS CUREBAND 10X10CM SOBX24,53542,7702136647694,14.2,,,,sin_match,no farmaco
cobeca,GASAS SOB ALGOBAP ESTERIL 2CMX2CM CAJX50,17248,7593255000398,4.12,,,,sin_match,score_bajo
cobeca,GASAS SOB ALGOBAP ESTERIL 3CMX3CM CAJX50,17249,7593255000404,7.04,,,,sin_match,score_bajo
cobeca,GASTRO ALIV SUSP 120ML PLN,51267,7800004003976,7,,,,sin_match,sin_candidato
cobeca,GASTRO ALIV TAB MAST 262MG X10 PLN,51268,7800004004874,6.01,,,,sin_match,sin_candidato
cobeca,GEL AKNFREE PUNTUAL IMPERFECCIONES 15ML,24629,7592512003745,5.39,,,,sin_match,sin_candidato
cobeca,GEL ALNA ULTRASONIDO X 250ML,50470,7593255000381,2.14,,,,sin_match,sin_candidato
cobeca,GEL ANTIBACT ESSENZA FAMILY CARE 480ML,20370,0745760025978,4.79,,,,sin_match,sin_candidato
cobeca,GEL ANTIBACT ESSENZA FAMILY CARE 980ML,20369,0745760025985,8.3,,,,sin_match,sin_candidato
cobeca,GEL ANTIBACT PULPLUS ACTIVE 90G,21910,7591251000138,2.73,,,,sin_match,sin_candidato
cobeca,GEL ANTIBACT PUREZA TEENS UVA 80G,95506,7591404002286,4.44,,,,sin_match,score_bajo
