descripcion,costo_usd,ef,pa_drovencentro,score
MONTELUKAST TAB REC 10MG X30 L.O,9.09,E.F.G.33.690,MONTELUKAST 10MG  10TAB,0.816
MONTELUKAST TAB/REC 10 MG X 30 LA SANTE,8.23,E.F.G.33.690,MONTELUKAST 10MG  10TAB,0.856
MULTIVITAMINICO CAP X30 LINOF,9.25,E.F.G.42.932,VITAMINA C - VITAMINA D3 - VITAMINA E - ZINC - VITAMINA A,0.815
MULTIVITAMINICO CAP X60 PREV,15.72,E.F.G.42.932,VITAMINA C - VITAMINA D3 - VITAMINA E - ZINC - VITAMINA A,0.794
MUPROSKIN UNG 2% 15G TIAR,5.38,E.F.G.43.731,MUPIROCINA  2%,0.832
NAC CAP 600MG X100 NOW,35.06,E.F.44.057,N ACETILCISTEINA 600MG  100CAPS,0.808
"NAS GTS SOL NASAL PED 0,05% 15ML L.O",2.73,E.F.13.354,NAFAZOLINA NITRATO 1MG,0.843
NEMAX SOL RECTAL 16%/6% AD 133ML CR FAHD,5.50,E.F.43.190,FOSFATO ACIDO DE SODIO FOSFATO DE SODIO,0.777
NEMAX-P FCO SOL PED 16% 66.6ML CR FAHD,5.50,E.F.G.44.357,FOSFATO ACIDO DE SODIO+ FOSFATO DE SODIO,0.744
NEUROMIX AMP SOL INY 3ML X1 LETI,5.03,E.F.39.021,VITAMINA B12/B1/B6,0.774
NEUROMIX AMP SOL INY 3ML X3 LETI,6.72,E.F.39.021,VITAMINA B12/B1/B6,0.774
NIFEDIPINA LP TAB 30MG X30 CR DIST,5.44,E.F.G.34.528,NIFEDIPINA 30MG,0.820
NIFEDIPINA SOL ORAL GTAS 20MG/ML CR LATT,5.19,E.F.24.973,NIFEDIPINA 20MG,0.842
NIFEDIPINA TAB REC LS 30MG X30 CR DAC,4.17,E.F.G.34.528,NIFEDIPINA 30MG,0.825
NOGINOX CREM VAG 40G PHARME,6.91,E.F.36.249,NITRATO DE ISOCONAZOL 1%,0.724
OMEBLOC PVO LIOF 40MG X10 BHR,20.79,E.F.G.44.444,OMEPRAZOL  40MG,0.825
OPRANEX CAP 20MG X30 BLUE/M,2.36,E.F.44.095,OMEPRAZOL 20MG  30CAPS,0.828
OPRANEX PVO LIOF INY 40MG X1 BLUE/M,1.58,E.F.44.280,OMEPRAZOL  40MG,0.813
PARACETAMOL JBE 120MG/5ML 120ML PORTU,3.77,E.F.G.43.540,PARACETAMOL 120MG/5ML,0.868
"PATADINE PLUS SOL OFT 0,2% 5ML DIEMA",13.08,E.F.44.305,"OLOPATADINA 0,2%",0.844
"PATALON SOL OFT 0,1% 5ML CAPSUV",7.13,E.F.34.819,"OLOPATADINA 0,1%  5ML",0.850
PATFLUX PVO LIOF SOL INY 40MG X1 ALESS,1.64,E.F.42.565,PANTOPRAZOL 40MG,0.808
PENTOXIFILINA TAB/REC 400MG X 30 ANGELUS,13.53,E.F.G.34.155,PENTOXIFILINA 400MG  30TAB,0.833
PEPSADEL TAB MAST 262MG X12 DISK,7.84,E.F.44.522,SUBSALICILATO DE BISMUTO 262MG,0.840
POENKERAT SOL OFT  0.5% 5ML MEG,9.09,E.F.41.980,KETOROLAC,0.840
POENTOBRAL GEL 5G MEG,19.91,E.F.31.563,TOBRAMICINA+DESAMETASONA,0.769
POENTOBRAL PLUS SOL OFT 5ML MEG,7.14,E.F.31.563,TOBRAMICINA+DESAMETASONA,0.809
POENTOBRAL SOL OFT 5ML MEG,6.99,E.F.31.563,TOBRAMICINA+DESAMETASONA,0.776
PREDNISONA SUSP 5MG/5ML 60ML PORTU,3.47,E.F.G.43.937,PREDNISONA 5MG  100TAB,0.874
